candidat,parti,candidat_presidentielle,retrait_candidature,nombre_mentions,mention_1,mention_2,mention_3,mention_4,mention_5,mention_6,mention_7,intention_mention_1,intention_mention_2,intention_mention_3,intention_mention_4,intention_mention_5,intention_mention_6,intention_mention_7,id,nom_institut,commanditaire,debut_enquete,fin_enquete,echantillon,population,hypothese
Valérie Pécresse,Les Républicains,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,4,10,15,17,17,13,24,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Emmanuel Macron,LRM,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,7,12,14,10,14,11,32,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Arnaud Montebourg,,True,2022-01-19,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,1,2,7,11,20,26,33,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Yannick Jadot,EE-LV,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,1,4,7,11,17,24,36,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Anne Hidalgo,Parti socialiste,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,1,3,7,9,17,20,43,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Fabien Roussel,Parti communiste,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,1,2,3,7,16,28,43,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Nicolas Dupont-Aignan,Debout la France,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,2,3,6,9,15,20,45,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Marine Le Pen,Rassemblement national,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,8,9,9,8,10,9,47,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Christiane Taubira,Walwari,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,3,3,7,10,12,17,48,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Nathalie Arthaud,Lutte ouvrière,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,0,1,3,7,16,24,49,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Philippe Poutou,NPA,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,1,2,4,6,12,23,52,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Jean-Luc Mélenchon,France insoumise,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,4,3,7,7,12,14,53,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Eric Zemmour,Reconquête,True,nan,7,Excellent,Très bien,Bien,Assez bien,Passable,Insuffisant,A rejeter,6,7,6,6,7,7,61,20211208_1209_ow,Opinion Way,Mieux voter,2021-12-08,2021-12-09,960,Inscrit sur les listes électorales,scrutin jugement majoritaire
Emmanuel Macron,LRM,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,9,26,25,35,5,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,faite-vous confiance
Valérie Pécresse,Les Républicains,True,nan,5,positive,plutot positive,plutot negative,negative,sans opinion,nan,nan,9,24,25,22,20,0,0,20220131_0202_elb,ELABE,"Les Echos, Radio Classique",2022-01-31,2022-02-02,1482,Representatif de la population française de 18 et plus,Image positive de la personnalité
