mention,to_4_mentions,
Excellent,positive,
Très bien,positive,
Bien,positive,
excellente opinion,positive,
positive,positive,
plutot positive,plutot positive,
Assez bien,plutot positive,
Passable,plutot positive,
bonne opinion,plutot positive,
Insuffisant,plutot negative,
plutot negative,plutot negative,
mauvaise opinion,plutot negative,
A rejeter,negative,
negative,negative,
très mauvaise opinion,negative,
ne la connaît pas suffisamment,sans opinion,
ne se prononce pas,sans opinion,
sans opinion,sans opinion,
